id,type,is_sar
5628bd6c,0,0
a1fcba39,0,0
f56c9501,1,0
9969afdd,0,0
b356eeae,1,0
3406706a,0,0
26c56102,0,0
e386ebf7,1,0
8c094b0d,1,0
939235aa,1,0
de6bf2a5,0,0
33a8ff5b,0,1
a32807a1,1,0
2906ef08,0,0
c2a01b8d,1,0
5a99160f,1,0
8b9017b8,0,1
fcf3bbf3,1,1
5132aa4d,0,0
68b90958,1,0
a4e0bd48,0,0
7138cbc6,1,0
a9edaba6,0,0
5c01ec6e,0,0
62827917,1,0
243b1e8b,1,0
de5c22e0,1,0
c412103b,1,0
01fdc089,1,0
d7a0ca48,1,0
d3adb450,1,0
3406d993,1,0
43e028ef,0,1
f7e4e741,0,0
4b46d80d,0,0
1a14903a,0,0
90e0340f,1,0
ab04afb9,0,0
5645140a,0,0
cf2f4c98,0,0
b6529244,0,0
cc23dc3d,1,0
6fde6893,1,0
b1644c1b,1,0
17ad5a2b,1,0
e586603e,0,0
9c187eed,0,1
65636b63,1,1
85d9870e,1,0
974dacb7,1,0
be970760,1,0
0b762e55,1,0
d73e5230,0,1
c0781220,1,0
b634f01c,0,0
18f35e38,0,0
54e1cb2b,0,0
550a25ff,1,1
631c59ef,0,0
68c0230d,0,1
dd8ede9f,0,0
2b5b5ab2,0,0
fef74d48,0,0
d97c61cb,1,0
5eb8334a,1,0
d55a4265,1,0
a1d654a1,1,0
83b48308,0,0
c6d75010,1,0
95735a86,0,0
01fc47c1,1,0
e489c56a,0,0
d5284bc6,0,0
8b543f17,0,0
97398bcd,0,0
141705d7,0,0
7b6ba78a,1,0
493dfdcc,1,0
cdbd2ed5,0,1
695fd460,1,0
c2982b13,0,0
ad281e8e,0,0
c0be245b,0,1
25a45c20,0,0
1236371a,0,0
c5e1cb84,1,0
492ca2ae,0,0
84563a83,1,1
507b73fb,1,0
cd98e5de,1,0
850c1b3f,1,0
4620fc86,1,0
c4238b55,1,0
f824e7ba,1,0
7d32e96f,1,0
2c807daf,0,0
963b978f,0,1
3880a010,1,0
83a2e06c,0,0
594e8f6e,1,0
c7a36c2f,1,0
69d956e2,1,0
394fb0e6,1,0
99e6eac2,1,0
83097766,1,0
01d87758,0,0
cb4395c1,1,0
5ad7f7f8,1,0
129a761b,0,0
bd909974,0,0
659aedb9,0,0
d6939ecd,1,0
34093430,0,0
e04e0e31,0,0
c316b5f7,1,0
ce6261b0,0,0
c75759ff,1,0
7880eafc,1,0
10259473,0,0
5b118bed,1,0
b1be32a3,0,0
937dbcda,1,0
592f827d,0,0
f2e61eec,1,0
123ffb78,1,0
840701de,1,1
2f13c879,1,0
da77c74b,1,1
50f8cf3f,0,0
43375d51,0,0
50d09a80,0,0
514590cd,1,0
d9a621df,0,0
f332feaa,1,0
d48cf8ea,1,0
507d675a,0,0
146abafc,1,0
419790df,1,0
d59bfbcd,1,0
b0d05d44,1,0
87aa88ea,0,0
f9b453f7,0,0
1322a90b,0,0
12e81ddb,0,0
e46f87a8,1,0
90d13591,1,0
a3eb8a02,0,0
a908dc5a,0,0
9786e520,0,0
7b0a5b49,0,0
1c3c8877,0,0
0e0cd2c4,0,0
c50910dc,0,0
fac26653,0,0
3fee486f,1,0
ac7ac0b8,0,0
29431553,0,0
245f0847,0,0
b5648c38,0,0
d74211ae,1,0
715f3adc,1,0
dc37f73b,0,1
8df036e4,1,0
4f18367a,1,0
93f49085,0,0
024224d4,0,0
b0f4351c,0,1
48e0a604,0,0
dd2ebcf1,1,1
af9bb3fe,0,0
d14c262b,0,0
d7c99aa5,0,1
2c47e2ae,0,0
b3894ab5,0,0
f8b90b71,0,0
7f43aef4,1,0
3c2583ad,0,0
c29d75dc,0,1
ffb07a36,0,0
2888316d,1,0
bf7dd729,1,0
b9da935d,1,0
cced52ea,0,0
320c3c0b,1,0
d33c1611,0,0
fafca3fe,1,0
6e1cfd16,0,0
82285aa5,0,0
53cf28ba,1,0
9a8189c5,0,0
b33cdafa,1,0
468b87ff,0,0
30e7b6b8,0,0
d97b5009,0,0
de30adfb,0,0
b6951324,1,0
8b732886,1,1
56e9fc25,0,1
a745c7bf,1,0
91ce4adc,1,1
9c60fb5b,0,1
e704958c,1,0
ddbc6043,1,0
877cf908,1,0
44b0b818,1,0
2be85d5c,1,0
af95316b,1,0
595bcc8f,0,0
0a2d0faf,1,0
4a366e7e,0,0
977e2545,1,0
b1ca50f4,1,0
3802441d,1,0
ec296384,0,0
e2e7e511,0,0
cea09629,0,0
a92d8fae,1,0
8987e05d,1,0
a9b3dc3a,1,0
c0870035,0,0
013e4d54,0,0
275793c5,1,0
41765ffd,0,0
48715d65,1,0
8179cd0b,0,0
10fe25b4,0,0
d12607c8,1,0
956c2247,0,0
2b463375,1,0
2e532efc,1,0
73cc34b5,0,0
fcb0c055,1,0
24e9561e,0,0
5ae28b42,0,0
661b7268,0,0
41bd6a5d,0,0
5669c785,0,0
c9c00009,0,0
6f5b0bae,1,1
837aefcc,0,1
016d4fcb,0,0
4420e7b4,0,0
d5ef3066,1,0
9c87f3f1,1,0
3ea84752,1,0
f1e0d47b,0,0
7d1220f1,0,0
309d8d32,0,0
51ee23fd,0,1
50a591c1,0,0
78dc8063,1,0
f53a857b,1,0
4ceed17b,1,0
52535f26,0,0
b1acbf97,0,0
8ace0dd1,0,0
869a871a,1,0
4703f0b1,1,0
2306f2b4,0,0
7ff7e296,1,0
65636353,0,0
f0982702,0,0
ab71729b,1,0
4240b42a,1,0
480890b3,0,0
553063c2,0,0
e55487f0,1,0
72656ddf,0,0
3983042c,1,0
fd86fdb9,0,0
251a2df5,0,0
6cac08e8,0,0
8635040e,0,0
0fcb0164,1,1
bd19e1ca,1,1
007749eb,0,1
c92ab9cb,0,1
6acc8abf,0,0
a815146e,0,1
eb1a3bc5,0,0
34b5ead2,0,0
436c06f1,1,0
0af17201,0,0
d520e0ef,0,0
1a1b2082,1,0
4725d505,1,0
62fcd1bc,1,0
2b3c84f2,1,1
67b54196,1,0
633a8384,1,0
c6a15b4c,0,0
ff427187,1,0
db421378,1,0
469fffd5,1,0
ca1727cf,0,0
0ad623a1,0,0
f81bbba3,0,0
bbc48e4b,1,1
7383fa03,0,0
c5d71914,0,0
91e79f48,1,0
bd257545,0,0
3cb2cd86,0,0
bf2ea890,1,0
0dc868b3,1,0
026f212d,0,0
4241abd3,1,0
d7582fc6,0,0
cf8dfd6b,1,0
fdb8c1de,1,0
ea3477c7,1,0
6addc3ef,0,0
86687c66,1,1
a2262a39,1,0
718fa060,0,0
5e7442f1,1,1
64537873,0,0
2d55d62a,0,0
1aede115,0,0
a1bd9e76,1,1
0ad3ffb8,1,0
83f5780c,0,1
da0a7222,0,0
b0103989,0,0
eed015e1,1,0
65a723ae,1,0
739f5b2e,1,0
494eccec,1,0
a0527e0f,1,1
1deb5f97,0,0
67d95201,1,0
c09cb746,0,0
83c70147,0,0
c6984f57,1,0
ff26d5c9,1,0
2d27d2a0,1,0
7a72ee3f,0,0
391844e8,1,0
895ca798,0,0
24bb8e6c,0,0
53f24d0d,0,0
2bcb5b6e,0,0
e990aa49,0,0
8da37289,0,0
dac28fee,0,0
e8653c8e,0,0
a6ec5e0d,0,0
d3a7588f,0,0
20f353f0,0,0
86130717,1,0
a7d14a3e,0,0
299ef617,1,0
793376f8,1,0
2879978f,0,0
6ca7aa59,1,0
dfb48d32,1,0
c2b9502d,0,1
0e245535,0,0
2533b162,1,0
722432cc,0,0
69d84dfc,0,1
78a9e068,0,0
3aa9646b,1,0
58e19729,0,1
d2b3c556,0,0
0fb5e7ab,1,1
780d43b6,0,0
88f0fefa,1,0
4beb0f9f,0,0
f6c88857,0,1
e845face,0,0
1c5cd784,0,0
71a3ef92,0,0
284f42e5,0,0
54959710,1,0
b5b094d0,1,0
44dd653a,0,0
1452248e,1,0
447f8876,1,0
e60d587f,1,1
8246e33c,1,0
00d07578,0,0
274ef1a6,0,0
4d87178c,1,0
f8172120,0,0
a5831de3,0,0
6a94705a,0,0
737bdc7b,0,0
6dffb09e,1,0
db779556,0,0
c57b959b,1,0
62f98fc0,1,0
777f6132,0,0
b01d8239,0,0
bcb5d2f5,0,0
f61c7993,1,0
dd6c1a92,1,0
7c8e0bd2,1,0
f126dc90,1,1
b7c35098,1,0
457acc51,1,0
cd00a8cc,0,0
1f0c5511,0,0
a619d92b,0,0
9fd646c1,0,0
7622ebaa,1,0
65c1be55,1,0
af332131,1,0
df4c5097,1,0
0b9f73ea,0,1
74a83ad0,0,0
70c0832b,1,0
a9495d80,1,0
a3b456e5,1,1
93fd2bd0,0,0
888d33e5,0,0
17d5ebcb,0,0
58966e2a,0,0
a587aae9,1,0
08fea4d0,0,0
8b0cff50,1,0
83f966ae,1,0
436e2a74,0,0
81f4ca39,0,0
2007b0da,1,0
70ba9a66,0,0
74e12a1f,1,0
62d55550,1,0
cac899f8,0,0
bafad3f3,0,0
96940a25,0,0
2bb61fa8,1,0
44d5d89a,0,0
97e07ad6,0,0
e6f46fcb,0,0
f401ac64,0,0
59316b6f,0,0
7d0c0901,0,0
f6294ab7,0,0
0811735d,1,0
9c18b640,0,0
0dd32d97,1,0
4f9335a2,0,0
e6a037c1,1,0
