source,target,tran_id,tx_type,base_amt
3aa9646b,1e46e726,496,4,858.77
49203bc3,a74d1101,1342,4,386.86
616d4505,99af2455,1580,4,616.43
39be1ea2,e7ec7bdb,2866,4,146.44
e2e0d938,afc399a9,3997,4,439.09
75c9a805,d7a317f6,5518,4,361.0
c14f4989,733a496b,7340,4,768.98
576eb672,aa49b0eb,9376,4,943.4
847a9cf6,b070a6bb,10362,4,668.3
12a388ff,586377aa,10817,4,139.84
b36f9c84,1b467848,11317,4,499.47
362e42e0,385afb8b,11748,4,357.96
572014da,acd60eca,13285,4,630.9
5ff2d9a7,31976e38,14832,4,685.07
24bf603c,fcf3bbf3,15619,4,964.81
9a118f8d,ca0967a6,16574,4,919.76
65b8a85f,bc0de3c7,18944,4,302.26
d7a317f6,31db9495,19204,4,637.18
95aac0c4,3a63a8fc,19530,4,630.43
5411dc34,f388cc0f,20382,4,374.73
4fd259ca,641897bb,20683,4,374.63
26c56102,bce666b5,21700,4,316.3
cbf87679,09d9635a,22346,4,516.75
1b710efa,9405ad27,22521,4,916.17
1147dcdd,a3bf717a,24663,4,989.46
7c1b77af,acd60eca,26755,4,904.17
7f1ca1a9,78bf8afb,29601,4,335.33
a027cb45,408c2657,29744,4,934.44
ac38406f,0ce1928b,29834,4,681.79
c9c69241,634ecbff,31035,4,202.93
8beaa9e5,3dc5d1e5,32396,4,358.74
b73f4064,538445d1,32539,4,831.44
f3fccdef,21bb6df1,35351,4,180.25
72555c71,6c344249,36131,4,2775.22
bd0893b7,011776ac,37111,4,977.04
e16513a0,a106d556,37263,4,249.74
f7bf5fa5,9714aa6b,37307,4,981.68
f0f54228,82342112,40107,4,271.8
4b39d278,554a0f3b,40386,4,284.05
23a375f2,ed8ddccb,42468,4,938.06
b6a5c3c1,bd41550e,46943,4,239.44
0d7cc5d5,1bb685cc,47084,4,878.87
468f82a6,1fc9f9a4,47283,4,98.79
9cece6a5,22e8b22b,48398,4,563.87
78fef42d,a71f91bc,48875,4,708.45
4b17544f,3381b65f,49308,4,565.61
feafdf80,35ca5309,54264,4,576.87
6a61e612,d8474abd,57020,4,143.78
cedee74d,66017a5e,57201,4,405.54
28d2b524,fac68a3b,57370,4,868.69
4623aa20,6c19333b,57984,4,788.9
109b820b,744034a9,61793,4,463.9
f9660357,d5c32e28,62015,4,259.12
8631a07b,06dc5818,65478,4,577.76
23465983,c3e0ea7a,66166,4,903.16
d2d049bb,b73c0187,67294,4,467.3
6f6673ed,957957ee,73470,4,211.95
db17f5a4,b0d578c7,73933,4,134.14
24bf603c,4a5d916d,75294,4,1046.32
f6063be8,bca39b70,82672,4,316.52
83b320a3,17b2f904,83861,4,171.73
5d3b6537,da958534,85100,4,116.85
f388cc0f,5411dc34,85253,4,197.37
1c5ff0bf,8b387f8d,85332,4,274.54
b80ada10,200cead7,88666,4,682.44
d93d651f,299ab0fd,89056,4,462.1
fcf5f249,48fa1dbd,89385,4,778.11
8bc3e4cd,8d064791,89863,4,370.07
21f444dd,0e4967ea,90550,4,591.42
73e274e6,9cde874b,93341,4,946.22
8c34e813,81057ef7,94695,4,901.05
a2deba83,fb80f973,94950,4,346.49
5316063b,9bdca776,96261,4,381.42
1fc7979d,2fae27c9,98143,4,453.29
50e8ff4a,6eb06ea6,100446,4,832.89
b2229f0e,aa2a997f,100884,4,874.87
d7b06383,91ac90a4,103747,4,729.85
2be85d5c,6ddf1894,103902,4,728.11
b9dacd45,1b70a6ff,104053,4,466.88
ad732204,d896fbd9,105153,4,751.3
6ddf1894,8f66b08c,105665,4,995.66
e50fa0ec,a0277a83,108460,4,406.23
f7e25630,eaceba9b,109172,4,401.33
65b8a85f,bc0de3c7,109608,4,899.65
66017a5e,c6601411,111300,4,707.28
3446be4b,67b54196,112020,4,252.65
afcdcf38,58fc9123,114206,4,606.2
97d32388,5733cfb6,115741,4,132.91
5f117d9c,4ad53acb,117500,4,682.13
e6602e38,7c91e960,119813,4,379.55
65752867,07a464f7,121763,4,836.23
4321a6a3,993b150f,121854,4,977.84
194c3a31,ec58cfe4,122334,4,474.93
739cad76,cfbebda8,126365,4,925.37
c53586f2,fac86a86,128367,4,998.94
c7d9be75,46d2d1c6,130995,4,933.58
7ea15348,5a2f601e,131213,4,140.2
89310995,9ef4ed0c,133018,4,538.93
72807a65,df55d9a2,133948,4,1079.22
01fa1d01,0aa6f7d9,135976,4,934.0
2a5ba2da,b1d20498,137193,4,792.7
3e09d781,a10a7ec5,138920,4,402.8
53241856,f05f558a,139830,4,140.74
80d9b37e,7afc4353,140081,4,228.59
d027c7bf,dc7840e4,141449,4,158.44
afcdcf38,d3833164,143153,4,452.62
42bea305,e17856b6,144991,4,564.39
bcbd22d7,b1acbf97,145203,4,964.4
0811735d,fb990b96,146988,4,354.06
fcb9ae64,9643c14a,147711,4,654.13
787f30cd,c494649f,150375,4,659.58
7077f863,8ed71f85,150956,4,359.74
790bbd22,ba504e94,154202,4,550.86
49cbf55f,10bacc8b,157426,4,415.48
7ea1c234,4620fc86,160009,4,437.24
eef1c706,15a28301,162321,4,442.21
7386b3ee,a024a417,163988,4,431.93
016d4fcb,43e1ce2b,166648,4,536.67
cf3d9c37,e7010b22,167621,4,549.96
0e5c0725,1c4f6995,167919,4,392.57
d6176b97,5b046cb3,170542,4,317.61
6adf6f51,9f2b3b4c,171094,4,100.58
d4cb0508,e816b73d,171142,4,667.38
492ca2ae,d0942305,172959,4,230.12
13b4c362,5b118bed,175394,4,836.67
c14f4989,2f809b0a,175702,4,782.19
1217b3c2,e96298b6,175842,4,122.93
a71f91bc,fa3d37b6,180282,4,756.39
8e250188,2be85d5c,180817,4,198.96
e368e648,44b0b818,181952,4,101.74
11e254a3,0e42297a,183955,4,141.76
457acc51,3f105a39,186486,4,283.93
ecaba057,72555c71,186519,4,668.47
0b0bf1c7,3ee51be7,186588,4,782.8
a85c70e1,6aacf1eb,187027,4,641.91
769edca2,f5b44704,187136,4,180.8
979e97e9,b8dd4de2,188644,4,916.27
8c07e519,cfbe1556,188873,4,205.47
8ca9f6da,fdbb1adc,189182,4,132.22
f207171c,583d34dc,191350,4,202.3
9969afdd,ccaa596f,192401,4,190.36
5c8be62c,ddfb9a64,193137,4,998.34
dd3e0e93,6c705c2a,193640,4,814.56
83f8a741,2c803b2d,193733,4,938.2
fa6c5966,e8cf21e8,194034,4,460.16
b0ef1f99,01b16a2d,194753,4,265.0
763dc001,7b930cdf,197258,4,401.33
3fe12c2e,cf55ba3d,198038,4,441.23
855d1d66,9f318c58,198909,4,210.44
0d91512f,65c1be55,200687,4,943.47
8635040e,d434041d,203504,4,179.87
770e77e8,658b5e23,205013,4,975.57
ea715674,e9624fb9,207103,4,696.63
52b952e3,aff5b671,208595,4,834.78
16e4a251,1a686316,209955,4,885.47
8364811f,0a425a34,210736,4,467.65
e96298b6,1c5d02f4,211126,4,202.64
cc23dc3d,eb517021,213270,4,421.68
a9e709af,e8677534,213516,4,430.25
3bb962c0,79e00b3c,213630,4,385.38
e2e0d938,afc399a9,214547,4,267.7
208d7af9,11d52a92,214739,4,684.76
79543cf3,5cea8f11,215820,4,566.83
6d9d3784,95e12f9d,216014,4,245.62
461c58a6,5441fc93,217657,4,1031.21
98eab506,21385bf8,218603,4,960.21
7e54affd,353c1253,219523,4,330.33
353c1253,8a70f08a,219558,4,388.7
46f10f96,c013c8e7,220404,4,453.86
90a89d29,f0996212,220674,4,574.79
7ea6e4ff,408c2657,222048,4,938.9
7f464f12,49a6b86f,222925,4,872.81
e1e271ce,b7c3ee5f,223475,4,915.02
8a70f08a,919679bc,225430,4,559.93
c2da24d9,c80f0760,225755,4,107.62
c1383f4c,bb2189c4,227501,4,727.09
713632a7,29b6c5b3,227763,4,551.93
