id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,is_sar
3aa9646b,-0.026494756,0.026853353,0.021856649,0.011050968,-0.01607806,-0.01607889,0.0013648077,0.018062627,-0.014077754,-0.030031767,0.010553613,-0.014376984,-0.0221445,0.029437276,-0.014808824,-0.028529955,0.012048613,-0.0024443413,-0.025720978,0.01751705,0.008702109,-0.007831301,0.02268348,0.006947011,0.009050844,-0.02359664,0.025231889,0.021024078,0.023284916,-0.02934938,-0.002892258,0.00018546512,0
1e46e726,0.008405837,-0.02109072,-0.0211347,0.026678372,-0.015543766,-0.02835898,0.01079361,-0.006178204,-0.014039893,-0.017287552,0.0059634997,-0.030468293,-0.021548206,0.029571462,0.030341493,-0.008294453,0.018266328,-0.0039276527,-0.0065615475,0.014291156,0.0048880726,-0.009656316,0.016966764,-0.009003953,0.022737049,0.022183653,0.0309825,-0.020324744,-0.024437185,-0.009587529,0.016712364,-0.0046956185,0
49203bc3,-0.012483114,-0.021595012,-0.0065024844,0.025197603,0.007464495,0.005802156,0.030296631,-0.011307074,0.030477718,-0.003684224,0.013707051,0.0068099247,0.030975938,-0.017289717,-0.016303949,0.016287792,-0.026426848,-0.029557262,-0.024766361,0.0020679208,0.015501798,0.02478636,-0.02010484,-0.02139421,-0.022934692,-0.010670106,0.020897904,-0.026390256,-0.025667293,0.006688348,-0.028166434,-0.006906021,0
a74d1101,0.0037611716,-0.012751436,0.024891276,0.00071035355,0.0073011797,0.026914254,-0.023606313,-0.006187139,-0.023932053,0.012891838,-0.00023345588,-0.012632904,-0.008249246,0.0015095265,0.001326375,-0.016189333,0.0010675353,-0.023538068,-0.02800568,-0.031242494,0.02696533,-0.015358731,0.0076235794,0.0060805073,0.022694977,-0.011298561,-0.008927426,0.023869323,-0.009745506,-0.015424257,0.017904103,0.002509108,1
616d4505,-0.0064802375,0.020372668,-0.028021835,0.02188705,-0.018993532,-0.016227271,0.0159918,0.012323981,0.0056722295,-0.0052073062,0.008807875,0.008659591,-0.014639527,0.016197285,0.016871367,-0.022081994,-0.028607018,0.009960573,0.030703017,-0.0076806387,0.02997192,0.024135334,-0.0040493566,0.026129603,0.0055382513,-0.010458719,-0.011312617,0.018268617,0.016334958,-0.0060849725,-0.017172206,0.009438041,0
99af2455,0.026885744,-0.02989162,-0.02312796,-0.014616944,0.009070803,-0.028889187,0.019589175,-0.01493423,-0.0046203863,-0.020672532,-0.013214957,0.02760411,-0.02372945,-0.017578714,-0.023797892,-0.018104838,0.0045305747,0.01265337,0.00728924,-0.018032214,-0.00089429825,0.030696275,-0.023143819,-0.017218655,-0.012989321,-0.017070578,-0.011851617,0.018666048,-0.018968454,-0.026584173,-0.0049304594,-0.009542898,1
39be1ea2,-0.0077116224,0.010025936,-0.021921419,-0.026482964,-0.0026448946,0.004533832,0.027944066,-0.014398821,-0.017048048,0.030117381,0.009903001,0.010877762,0.017807638,0.013276989,0.015391936,0.012126393,-0.013146208,0.014394397,0.0043872963,-0.024081841,0.0023357281,0.030799773,0.016974827,0.0007539478,-0.011560343,-0.026767299,-0.030966222,-0.030737706,0.0029976747,0.01409024,0.00039061025,0.0062859664,0
e7ec7bdb,-0.025434481,-0.018840084,0.002598988,-0.012573319,-0.029739518,-0.0025547987,0.021143723,0.018968081,-0.031480804,0.009812214,-0.019008143,-0.028785564,0.0006515843,-0.00096051954,-0.021944497,-0.019743113,-0.007894285,0.02228174,-0.023795217,0.024191247,-0.0013211452,0.0036085723,0.029503591,0.014639951,-0.011286551,0.011868769,0.010954889,0.020105034,4.475717e-05,-0.013928992,0.0041633127,-0.016983718,1
e2e0d938,-0.009638391,0.009643437,0.014760804,-0.007518117,-0.023503859,-0.009607545,0.013530322,-0.02400979,0.02049127,-0.02229757,-0.030778697,0.026278647,-0.0021347224,-0.027429286,-0.015982077,-0.0031439466,0.0040333676,0.024661548,0.007095848,-0.022642937,0.029702177,0.017139047,-0.021496346,-0.010923187,-0.0030376671,0.02474456,0.011351943,0.0020348355,0.018885119,0.012830137,-0.024354711,-0.010559217,0
afc399a9,0.020312449,0.013707987,0.0016080667,0.029131847,-0.017553048,-0.018096166,0.012732208,-0.015393747,0.014827911,0.019276274,-0.02002878,-0.009326755,-0.012680424,-0.02300305,0.0006019515,-0.012293734,-0.015627448,-0.0098182745,0.02281078,0.025240868,0.01188105,0.015701339,-0.015427686,0.0006864685,-0.024094187,-0.014509422,-0.028786499,-0.013009047,0.02515239,0.016477307,0.02910089,0.005306799,0
75c9a805,0.02501762,-0.0054334253,-0.02221207,0.0047988514,-0.016981224,0.010512806,-0.023921277,0.0023627395,0.020662673,0.015871054,-0.010706487,0.0142178815,0.020275991,-0.019213922,0.016619798,0.013296846,-0.029904967,-0.023544166,0.0204554,0.02925656,0.022872556,0.022786211,-0.017795358,0.005495049,-0.015813217,0.0074801063,0.016682753,0.022789743,-0.029183866,-0.014256129,0.002627148,0.019221678,0
d7a317f6,-0.023097632,0.003896299,0.007682151,0.004856469,0.0040600654,-0.017038256,-0.010808717,-0.019936625,-0.027305776,0.024294337,0.022547448,0.018318791,0.027527617,0.005263436,-0.008938415,-0.021471513,0.007172938,0.015155382,0.023527484,-0.0062116086,0.02827096,0.008703013,0.01816795,0.020310521,0.006206868,0.02358279,-0.0010597522,-0.017337177,0.0042918143,0.029477717,0.027309598,0.009856598,0
c14f4989,0.012160201,0.013992049,5.9159684e-05,0.024134744,0.01305299,-0.022090329,0.0042583616,-0.030991266,0.017270908,-0.009083246,-0.009366277,-0.025082175,-0.00062158855,-0.0067793387,0.00032131432,-0.015789585,-0.01725982,0.013077539,0.014365033,-0.004000671,0.00108404,0.031228106,0.02594982,-0.029351287,0.010779274,-0.023349265,-0.027049197,-0.027409099,0.029084092,0.009606235,-0.02277375,-0.004693427,1
733a496b,0.009075936,-0.008940117,0.027181873,0.01908555,0.010986627,0.009216404,0.011744476,-0.01247563,0.021486562,0.0063534323,0.005903193,0.014737331,0.005266845,-0.021084582,0.016846396,0.0043696156,0.0064303316,-0.022815032,-0.015096277,0.025987545,-0.018328397,-0.018840307,-0.02067378,-0.008369452,-0.009103345,-0.004257105,0.010114275,-0.004557789,-0.004881885,0.023194304,0.029268438,-0.015283831,0
576eb672,-0.010508848,0.022957014,0.01683896,0.016241383,0.0011359602,-0.0072577447,0.02813388,0.022841062,0.0024450016,-0.021736505,-0.0091092335,-0.0266893,-0.01858104,0.019305732,0.0006661472,-0.011194449,0.003908314,0.009616104,-0.0006140367,-0.010828104,0.0010205772,-0.030649615,0.012107049,0.007075772,0.008386475,0.020857334,0.01876248,0.014250563,0.012963799,-0.0022714296,-0.03036042,0.011969898,1
