id,type
5628bd6c,0
a1fcba39,0
f56c9501,1
9969afdd,0
b356eeae,1
3406706a,0
26c56102,0
e386ebf7,1
8c094b0d,1
939235aa,1
de6bf2a5,0
33a8ff5b,0
a32807a1,1
2906ef08,0
c2a01b8d,1
5a99160f,1
8b9017b8,0
fcf3bbf3,1
5132aa4d,0
68b90958,1
a4e0bd48,0
7138cbc6,1
a9edaba6,0
5c01ec6e,0
62827917,1
243b1e8b,1
de5c22e0,1
c412103b,1
01fdc089,1
d7a0ca48,1
d3adb450,1
3406d993,1
43e028ef,0
f7e4e741,0
4b46d80d,0
1a14903a,0
90e0340f,1
ab04afb9,0
5645140a,0
cf2f4c98,0
b6529244,0
cc23dc3d,1
6fde6893,1
b1644c1b,1
17ad5a2b,1
e586603e,0
9c187eed,0
65636b63,1
85d9870e,1
974dacb7,1
be970760,1
0b762e55,1
d73e5230,0
c0781220,1
b634f01c,0
18f35e38,0
54e1cb2b,0
550a25ff,1
631c59ef,0
68c0230d,0
dd8ede9f,0
2b5b5ab2,0
fef74d48,0
d97c61cb,1
5eb8334a,1
d55a4265,1
a1d654a1,1
83b48308,0
c6d75010,1
95735a86,0
01fc47c1,1
e489c56a,0
d5284bc6,0
8b543f17,0
97398bcd,0
141705d7,0
7b6ba78a,1
493dfdcc,1
cdbd2ed5,0
695fd460,1
c2982b13,0
ad281e8e,0
c0be245b,0
25a45c20,0
1236371a,0
c5e1cb84,1
492ca2ae,0
84563a83,1
507b73fb,1
cd98e5de,1
850c1b3f,1
4620fc86,1
c4238b55,1
f824e7ba,1
7d32e96f,1
2c807daf,0
963b978f,0
3880a010,1
83a2e06c,0
594e8f6e,1
c7a36c2f,1
69d956e2,1
394fb0e6,1
99e6eac2,1
83097766,1
01d87758,0
cb4395c1,1
5ad7f7f8,1
129a761b,0
bd909974,0
659aedb9,0
d6939ecd,1
34093430,0
e04e0e31,0
c316b5f7,1
ce6261b0,0
c75759ff,1
7880eafc,1
10259473,0
5b118bed,1
b1be32a3,0
937dbcda,1
592f827d,0
f2e61eec,1
123ffb78,1
840701de,1
2f13c879,1
da77c74b,1
50f8cf3f,0
43375d51,0
50d09a80,0
514590cd,1
d9a621df,0
f332feaa,1
d48cf8ea,1
507d675a,0
146abafc,1
419790df,1
d59bfbcd,1
b0d05d44,1
87aa88ea,0
f9b453f7,0
1322a90b,0
12e81ddb,0
e46f87a8,1
90d13591,1
a3eb8a02,0
a908dc5a,0
9786e520,0
7b0a5b49,0
1c3c8877,0
0e0cd2c4,0
c50910dc,0
fac26653,0
3fee486f,1
ac7ac0b8,0
29431553,0
245f0847,0
b5648c38,0
d74211ae,1
715f3adc,1
dc37f73b,0
8df036e4,1
4f18367a,1
93f49085,0
024224d4,0
b0f4351c,0
48e0a604,0
dd2ebcf1,1
af9bb3fe,0
d14c262b,0
d7c99aa5,0
2c47e2ae,0
b3894ab5,0
f8b90b71,0
7f43aef4,1
3c2583ad,0
c29d75dc,0
ffb07a36,0
2888316d,1
bf7dd729,1
b9da935d,1
cced52ea,0
320c3c0b,1
d33c1611,0
fafca3fe,1
6e1cfd16,0
82285aa5,0
53cf28ba,1
9a8189c5,0
b33cdafa,1
468b87ff,0
30e7b6b8,0
d97b5009,0
de30adfb,0
b6951324,1
8b732886,1
56e9fc25,0
a745c7bf,1
91ce4adc,1
9c60fb5b,0
e704958c,1
ddbc6043,1
877cf908,1
44b0b818,1
2be85d5c,1
af95316b,1
595bcc8f,0
0a2d0faf,1
4a366e7e,0
977e2545,1
b1ca50f4,1
3802441d,1
ec296384,0
e2e7e511,0
cea09629,0
a92d8fae,1
8987e05d,1
a9b3dc3a,1
c0870035,0
013e4d54,0
275793c5,1
41765ffd,0
48715d65,1
8179cd0b,0
10fe25b4,0
d12607c8,1
956c2247,0
2b463375,1
2e532efc,1
73cc34b5,0
fcb0c055,1
24e9561e,0
5ae28b42,0
661b7268,0
41bd6a5d,0
5669c785,0
c9c00009,0
6f5b0bae,1
837aefcc,0
016d4fcb,0
4420e7b4,0
d5ef3066,1
9c87f3f1,1
3ea84752,1
f1e0d47b,0
7d1220f1,0
309d8d32,0
51ee23fd,0
50a591c1,0
78dc8063,1
f53a857b,1
4ceed17b,1
52535f26,0
b1acbf97,0
8ace0dd1,0
869a871a,1
4703f0b1,1
2306f2b4,0
7ff7e296,1
65636353,0
f0982702,0
ab71729b,1
4240b42a,1
480890b3,0
553063c2,0
e55487f0,1
72656ddf,0
3983042c,1
fd86fdb9,0
251a2df5,0
6cac08e8,0
8635040e,0
0fcb0164,1
bd19e1ca,1
007749eb,0
c92ab9cb,0
6acc8abf,0
a815146e,0
eb1a3bc5,0
34b5ead2,0
436c06f1,1
0af17201,0
d520e0ef,0
1a1b2082,1
4725d505,1
62fcd1bc,1
2b3c84f2,1
67b54196,1
633a8384,1
c6a15b4c,0
ff427187,1
db421378,1
469fffd5,1
ca1727cf,0
0ad623a1,0
f81bbba3,0
bbc48e4b,1
7383fa03,0
c5d71914,0
91e79f48,1
bd257545,0
3cb2cd86,0
bf2ea890,1
0dc868b3,1
026f212d,0
4241abd3,1
d7582fc6,0
cf8dfd6b,1
fdb8c1de,1
ea3477c7,1
6addc3ef,0
86687c66,1
a2262a39,1
718fa060,0
5e7442f1,1
64537873,0
2d55d62a,0
1aede115,0
a1bd9e76,1
0ad3ffb8,1
83f5780c,0
da0a7222,0
b0103989,0
eed015e1,1
65a723ae,1
739f5b2e,1
494eccec,1
a0527e0f,1
1deb5f97,0
67d95201,1
c09cb746,0
83c70147,0
c6984f57,1
ff26d5c9,1
2d27d2a0,1
7a72ee3f,0
391844e8,1
895ca798,0
24bb8e6c,0
53f24d0d,0
2bcb5b6e,0
e990aa49,0
8da37289,0
dac28fee,0
e8653c8e,0
a6ec5e0d,0
d3a7588f,0
20f353f0,0
86130717,1
a7d14a3e,0
299ef617,1
793376f8,1
2879978f,0
6ca7aa59,1
dfb48d32,1
c2b9502d,0
0e245535,0
2533b162,1
722432cc,0
69d84dfc,0
78a9e068,0
3aa9646b,1
58e19729,0
d2b3c556,0
0fb5e7ab,1
780d43b6,0
88f0fefa,1
4beb0f9f,0
f6c88857,0
e845face,0
1c5cd784,0
71a3ef92,0
284f42e5,0
54959710,1
b5b094d0,1
44dd653a,0
1452248e,1
447f8876,1
e60d587f,1
8246e33c,1
00d07578,0
274ef1a6,0
4d87178c,1
f8172120,0
a5831de3,0
6a94705a,0
737bdc7b,0
6dffb09e,1
db779556,0
c57b959b,1
62f98fc0,1
777f6132,0
b01d8239,0
bcb5d2f5,0
f61c7993,1
dd6c1a92,1
7c8e0bd2,1
f126dc90,1
b7c35098,1
457acc51,1
cd00a8cc,0
1f0c5511,0
a619d92b,0
9fd646c1,0
7622ebaa,1
65c1be55,1
af332131,1
df4c5097,1
0b9f73ea,0
74a83ad0,0
70c0832b,1
a9495d80,1
a3b456e5,1
93fd2bd0,0
888d33e5,0
17d5ebcb,0
58966e2a,0
a587aae9,1
08fea4d0,0
8b0cff50,1
83f966ae,1
436e2a74,0
81f4ca39,0
2007b0da,1
70ba9a66,0
74e12a1f,1
62d55550,1
cac899f8,0
bafad3f3,0
96940a25,0
2bb61fa8,1
44d5d89a,0
97e07ad6,0
e6f46fcb,0
f401ac64,0
59316b6f,0
7d0c0901,0
f6294ab7,0
0811735d,1
9c18b640,0
0dd32d97,1
4f9335a2,0
e6a037c1,1
6e1eb6b7,0
d330d10d,1
1d117d48,1
512c237e,0
f00e8329,0
8215ba31,0
dfc1102c,0
ff1e0e8e,1
28f43c4b,1
c94165cf,1
70256b89,0
54e6d566,0
4164c772,1
0baa4a22,1
d02b385c,1
872adce1,0
e759f1a9,0
aa307a55,0
11550b86,0
1ef0dfb3,0
132035d1,0
1c2a1573,1
41efa415,0
aa36af7f,0
522837d2,0
30aec0a5,0
e3700bb9,0
9c906556,0
8637de86,0
da65d526,0
4b5b8c4d,1
57e4d064,1
d97dbf00,0
eddfb932,0
4591ad53,0
fe19f970,0
916eead1,0
4b39d278,1
dfe80718,0
1054dfe6,0
9f85c5b5,1
4093d06e,0
3190f18d,1
682f32cc,0
dd5bcef5,1
e6649739,0
9bce1497,1
14f6d24f,1
f90c9a23,1
79b71d1f,0
7b8a8c9a,0
dd057328,0
3147a28a,1
4558118b,1
34571ce8,1
15dc001b,1
4e1b5e7d,1
55e2967b,0
cc668310,0
27c91669,0
708c7908,0
56d2bed9,1
0850e478,1
6a9d975d,1
fc03cd34,0
efdab432,0
2f7845d6,0
3b9f661f,1
b851967f,1
e4e2df55,0
ce72d7eb,1
41052991,1
a1b4f889,0
dc207259,1
92cf8d33,0
c28e92c3,1
bafb9ca4,0
96a6f36f,0
9614844a,0
dc5b914d,1
edfe718c,0
b1919a9c,0
6293903c,1
9b7e179d,1
6a261add,0
01f0dec8,0
4f413245,0
7b930cdf,1
6e8b29b0,0
9d4c6200,0
ebb66c33,1
42f6361f,1
1d666c89,1
a978d9e3,0
40b5dc41,0
d288e3e6,1
ecc461e1,0
8807cd85,1
1a323eb1,1
95747e14,1
ce7d830e,1
2b39bb15,0
52e66c0a,0
c2e5732c,1
8adff64d,0
bcbd22d7,0
0d692eec,0
500959a3,0
45a3420f,0
3c68aa98,1
24cc82a0,0
def0472d,1
3bfd856f,0
3eb1c62b,1
7e1b78eb,1
e20391a8,1
903efbc8,0
eb6993f4,1
299f918d,1
dac9df1a,1
1da25136,1
27ed533c,0
2909d27e,1
274ba646,0
09ff06e2,1
1fb9cdc2,1
bf7b4610,1
4c993192,1
6c352fc4,1
9b0d0ebc,1
724626d5,1
1f3d069c,1
79220588,0
6a2409f9,0
62d150c2,1
2d76caaa,1
2e531b15,0
fc70127e,1
8426d482,1
85c9be3e,1
0dff90bb,0
b608b308,0
e2d25ae6,1
19863e58,0
071ef7d3,0
7f60ae37,1
cfb8de92,1
